  reset    in_a    in_b    in_c    ready_out    valid_in    result    valid_out    ready_in    valid_out_shift
      0       0       0       0            1           0         0            0           1               0000
      1      10      10      10            1           1         0            0           1               0000
      0      11      11      11            1           1         0            0           1               0000
      0      12      12      12            0           1         0            0           1               1000
      0      13      13      13            1           1         0            0           1               1100
      0      14      14      14            0           1         0            0           1               1110
      0      15      15      15            1           1       132            1           1               1111
      0      16      16      16            0           1       132            0           1               1111
      0      17      17      17            1           1       182            1           1               1111
      0      18      18      18            0           1       182            0           1               1111
      0      19      19      19            1           1       240            1           1               1111
      1      20      20      20            0           1       240            0           1               1111
      0      21      21      21            1           1         0            0           1               0000
      0      22      22      22            0           1         0            0           1               1000
      0      23      23      23            1           1         0            0           1               1100
      0      24      24      24            0           1         0            0           1               1110
      0      25      25      25            1           1       462            1           1               1111
      0      26      26      26            0           1       462            0           1               1111
      0      27      27      27            1           1       552            1           1               1111
      0      28      28      28            0           1       552            0           1               1111
